                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.1736,                 2.5908,                 1.0198,                0.45578,                0.28951,                0.30106,                0.20398,                  1.215,                 2.9928,                 1.0088,               0.009985,               0.009985,               0.009985
                     78,                 1.2754,                 2.4887,                 1.0187,                0.26986,                0.42341,                0.29669,                0.21107,                 1.0834,                 2.9404,                0.96961,              0.0099848,              0.0099848,              0.0099848
                     79,                 1.1584,                 2.4485,                 1.0089,                0.29713,                0.40317,                0.30534,                0.22768,                 1.1069,                 2.7775,                0.96232,              0.0099846,              0.0099846,              0.0099846
                     80,                  1.152,                 2.4126,                0.97622,                0.27454,                0.47994,                0.32392,                0.23829,                 1.1321,                 2.7583,                0.96331,              0.0099844,              0.0099844,              0.0099844
                     81,                 1.1706,                 2.4675,                0.99558,                0.33213,                0.37655,                0.36269,                0.27277,                  1.071,                 2.7335,                0.95222,              0.0099842,              0.0099842,              0.0099842
                     82,                 1.1439,                 2.5168,                 1.0005,                0.28306,                0.39742,                 0.3643,                0.26285,                 1.1083,                 2.8617,                0.94837,               0.009984,               0.009984,               0.009984
                     83,                 1.1045,                 2.4295,                0.97852,                0.34583,                0.42485,                0.37345,                0.26145,                 1.1223,                 2.7544,                0.96655,              0.0099838,              0.0099838,              0.0099838
                     84,                 1.1286,                  2.422,                0.97905,                0.30122,                0.50109,                0.34915,                0.25977,                 1.0539,                 2.6562,                0.96207,              0.0099836,              0.0099836,              0.0099836
                     85,                 1.0781,                 2.3394,                0.98497,                0.29316,                0.39159,                0.36358,                0.27046,                 1.1034,                 2.6721,                0.96408,              0.0099834,              0.0099834,              0.0099834
                     86,                 1.1607,                 2.4148,                0.97402,                0.35783,                 0.3357,                0.34611,                0.25977,                 1.0819,                 2.8362,                0.96931,              0.0099832,              0.0099832,              0.0099832
                     87,                 1.0833,                 2.3452,                0.97732,                0.30787,                0.46815,                0.39165,                0.28802,                 1.0724,                 2.7485,                0.96005,               0.009983,               0.009983,               0.009983
                     88,                 1.2076,                 2.4092,                0.99441,                0.30937,                0.57628,                0.33854,                0.23743,                 1.1224,                 2.9777,                0.97891,              0.0099828,              0.0099828,              0.0099828
                     89,                 1.1811,                 2.3296,                 1.0026,                0.27626,                0.60833,                0.35009,                0.24987,                 1.0364,                 2.8202,                0.95498,              0.0099826,              0.0099826,              0.0099826
                     90,                 1.0699,                 2.2876,                0.99095,                 0.4312,                0.40866,                0.38218,                0.28375,                 1.0132,                 2.9566,                0.95666,              0.0099824,              0.0099824,              0.0099824
                     91,                 1.2428,                 2.3493,                 1.0189,                0.22322,                0.60938,                 0.3832,                0.28467,                  1.038,                 2.7657,                0.95861,              0.0099822,              0.0099822,              0.0099822
                     92,                 1.0893,                 2.2858,                0.95526,                0.38442,                0.50802,                0.41452,                0.30001,                 1.1092,                  2.916,                0.98089,               0.009982,               0.009982,               0.009982
                     93,                 1.1503,                 2.2542,                 1.0074,                0.35521,                0.49066,                0.39935,                0.29823,                 1.0319,                 2.6601,                0.95161,              0.0099818,              0.0099818,              0.0099818
                     94,                 1.0933,                 2.2819,                0.98958,                0.34798,                 0.4672,                0.41371,                0.29968,                 1.0701,                 2.8068,                0.96432,              0.0099816,              0.0099816,              0.0099816
                     95,                 1.0935,                  2.203,                0.96969,                0.39842,                0.39098,                 0.4221,                0.29686,                 1.1761,                 2.8195,                 1.0008,              0.0099814,              0.0099814,              0.0099814
                     96,                 1.1475,                 2.2449,                 1.0095,                0.34303,                0.50608,                0.40765,                0.30049,                 1.0565,                 2.7329,                0.96147,              0.0099812,              0.0099812,              0.0099812
                     97,                 1.0481,                 2.1538,                0.95344,                0.35755,                0.43341,                0.35053,                 0.2607,                 1.1085,                 2.9411,                0.97526,               0.009981,               0.009981,               0.009981
                     98,                 1.0355,                 2.1902,                0.96495,                0.29916,                0.51362,                0.39584,                0.29942,                 1.0857,                 2.7621,                0.97486,              0.0099808,              0.0099808,              0.0099808
                     99,                 1.0971,                 2.1783,                0.98295,                0.30703,                0.47084,                0.38481,                0.27063,                 1.1029,                 2.7258,                0.97235,              0.0099806,              0.0099806,              0.0099806
                    100,                 1.1312,                 2.1671,                0.96983,                0.21259,                0.52022,                0.40877,                0.28394,                 1.2145,                  2.703,                 1.0069,              0.0099804,              0.0099804,              0.0099804
                    101,                 1.0507,                 2.0191,                0.95312,                0.29674,                0.46382,                0.39111,                0.27515,                 1.1279,                 2.6567,                 0.9692,              0.0099802,              0.0099802,              0.0099802
                    102,                 1.1654,                 2.1131,                0.96613,                0.25735,                0.48494,                0.38853,                0.28524,                 1.1728,                 2.6165,                0.98753,                0.00998,                0.00998,                0.00998
                    103,                  1.142,                 2.1091,                0.97566,                    0.3,                0.42771,                0.41501,                0.31617,                 1.0888,                 2.6753,                0.95735,              0.0099798,              0.0099798,              0.0099798
                    104,                 1.0803,                  2.103,                0.96729,                0.40518,                0.33549,                 0.3916,                0.28946,                 1.0716,                 2.7693,                0.95602,              0.0099796,              0.0099796,              0.0099796
                    105,                 1.0682,                 2.1366,                0.96809,                0.36986,                0.44212,                0.41553,                0.30647,                 1.0857,                 2.5522,                0.95851,              0.0099794,              0.0099794,              0.0099794
                    106,                 1.0551,                 1.9605,                0.96181,                0.26623,                0.39987,                0.41073,                0.30792,                 1.0967,                 2.6978,                0.95648,              0.0099792,              0.0099792,              0.0099792
                    107,                 1.1326,                  2.111,                0.99733,                0.37238,                0.29237,                0.35208,                0.25292,                 1.1159,                  2.886,                0.96132,               0.009979,               0.009979,               0.009979
                    108,                 1.0745,                 2.0025,                 0.9704,                0.39738,                0.42824,                 0.3887,                0.28633,                 1.1083,                   2.75,                0.95769,              0.0099788,              0.0099788,              0.0099788
                    109,                 1.1549,                 2.0024,                0.96267,                0.32282,                0.43442,                0.38721,                 0.2727,                 1.1449,                 2.7211,                0.97531,              0.0099786,              0.0099786,              0.0099786
                    110,                 1.0965,                 1.9503,                  0.948,                0.24955,                0.44128,                0.41584,                0.31309,                 1.0463,                  2.733,                0.95193,              0.0099784,              0.0099784,              0.0099784
                    111,                 1.0341,                 2.0609,                0.96302,                 0.3816,                0.46681,                0.40655,                 0.3113,                 1.0333,                 2.6262,                0.94273,              0.0099782,              0.0099782,              0.0099782
                    112,                 1.0417,                 1.9843,                0.94071,                0.31438,                0.56754,                0.41391,                0.30819,                 1.0557,                 2.7149,                0.95267,               0.009978,               0.009978,               0.009978
                    113,                   1.05,                 1.8805,                0.95553,                0.28431,                0.50626,                0.41844,                0.30961,                 1.0634,                 2.7416,                0.94188,              0.0099778,              0.0099778,              0.0099778
                    114,                 1.0818,                 1.9278,                0.96574,                 0.3153,                0.50027,                 0.4117,                0.30207,                 1.0479,                 2.6962,                0.94684,              0.0099776,              0.0099776,              0.0099776
                    115,                 1.0762,                  1.876,                0.95517,                0.27255,                0.51873,                0.42026,                0.30837,                 1.0579,                 2.6527,                0.95112,              0.0099774,              0.0099774,              0.0099774
                    116,                 1.0065,                 1.8076,                0.92733,                 0.3018,                0.51017,                0.43887,                 0.3117,                 1.0602,                 2.6612,                0.95141,              0.0099772,              0.0099772,              0.0099772
                    117,                 1.0084,                 1.7605,                0.96149,                0.35269,                0.58833,                0.46762,                0.33576,                 1.0776,                 2.5499,                0.96519,               0.009977,               0.009977,               0.009977
                    118,                 1.0834,                 1.7831,                0.95356,                0.36883,                0.52951,                0.45718,                0.33232,                  1.083,                 2.7068,                 0.9637,              0.0099768,              0.0099768,              0.0099768
